"","num.predictors","AIC","model"
"1",13,11569.026160283,"sudi  ~  yod"
"2",9,11305.4303699887,"sudi  ~  bw"
"3",4,11532.791681733,"sudi  ~  dhb"
"4",2,11364.3450602518,"sudi  ~  dep"
"5",2,11557.1718779317,"sudi  ~  sex"
"6",3,11032.4757561814,"sudi  ~  eth"
"7",21,11307.0497606203,"sudi  ~  yod + bw"
"8",16,11534.4895570638,"sudi  ~  yod + dhb"
"9",14,11367.0541117771,"sudi  ~  yod + dep"
"10",14,11559.0146065446,"sudi  ~  yod + sex"
"11",15,11034.3630702629,"sudi  ~  yod + eth"
"12",12,11273.6567581472,"sudi  ~  bw + dhb"
"13",10,11118.315172473,"sudi  ~  bw + dep"
"14",10,11285.5171800747,"sudi  ~  bw + sex"
"15",11,10791.5146856612,"sudi  ~  bw + eth"
"16",5,11351.2605681039,"sudi  ~  dhb + dep"
"17",5,11522.7818112726,"sudi  ~  dhb + sex"
"18",6,11034.7309346291,"sudi  ~  dhb + eth"
"19",3,11354.3659740777,"sudi  ~  dep + sex"
"20",4,10977.1679863693,"sudi  ~  dep + eth"
"21",4,11022.7655795209,"sudi  ~  sex + eth"
"22",24,11275.0649974562,"sudi  ~  yod + bw + dhb"
"23",22,11120.7003133601,"sudi  ~  yod + bw + dep"
"24",22,11287.1096813278,"sudi  ~  yod + bw + sex"
"25",23,10794.1226880364,"sudi  ~  yod + bw + eth"
"26",17,11353.96465035,"sudi  ~  yod + dhb + dep"
"27",17,11524.4539264643,"sudi  ~  yod + dhb + sex"
"28",18,11036.6742577562,"sudi  ~  yod + dhb + eth"
"29",15,11357.063567591,"sudi  ~  yod + dep + sex"
"30",16,10979.9504094209,"sudi  ~  yod + dep + eth"
"31",16,11024.6542544095,"sudi  ~  yod + sex + eth"
"32",13,11107.026950166,"sudi  ~  bw + dhb + dep"
"33",13,11253.8887622112,"sudi  ~  bw + dhb + sex"
"34",14,10794.6075874844,"sudi  ~  bw + dhb + eth"
"35",11,11099.2417584477,"sudi  ~  bw + dep + sex"
"36",12,10748.080796029,"sudi  ~  bw + dep + eth"
"37",12,10773.535929075,"sudi  ~  bw + sex + eth"
"38",6,11341.2953965303,"sudi  ~  dhb + dep + sex"
"39",7,10982.4722326117,"sudi  ~  dhb + dep + eth"
"40",7,11025.0129856815,"sudi  ~  dhb + sex + eth"
"41",5,10967.377849033,"sudi  ~  dep + sex + eth"
"42",25,11109.3862500303,"sudi  ~  yod + bw + dhb + dep"
"43",25,11255.2637662618,"sudi  ~  yod + bw + dhb + sex"
"44",26,10797.2453229619,"sudi  ~  yod + bw + dhb + eth"
"45",23,11101.6022580052,"sudi  ~  yod + bw + dep + sex"
"46",24,10751.3797988283,"sudi  ~  yod + bw + dep + eth"
"47",24,10776.2162480321,"sudi  ~  yod + bw + sex + eth"
"48",18,11343.9845128799,"sudi  ~  yod + dhb + dep + sex"
"49",19,10985.2596932545,"sudi  ~  yod + dhb + dep + eth"
"50",19,11026.9565175649,"sudi  ~  yod + dhb + sex + eth"
"51",17,10970.1474024812,"sudi  ~  yod + dep + sex + eth"
"52",14,11088.0213812269,"sudi  ~  bw + dhb + dep + sex"
"53",15,10753.5646671174,"sudi  ~  bw + dhb + dep + eth"
"54",15,10776.6683257849,"sudi  ~  bw + dhb + sex + eth"
"55",13,10730.2690856294,"sudi  ~  bw + dep + sex + eth"
"56",8,10972.6827981628,"sudi  ~  dhb + dep + sex + eth"
"57",26,11090.3547291446,"sudi  ~  yod + bw + dhb + dep + sex"
"58",27,10756.8601565504,"sudi  ~  yod + bw + dhb + dep + eth"
"59",27,10779.3764566167,"sudi  ~  yod + bw + dhb + sex + eth"
"60",25,10733.6099302267,"sudi  ~  yod + bw + dep + sex + eth"
"61",20,10975.4579795104,"sudi  ~  yod + dhb + dep + sex + eth"
"62",16,10735.7611871536,"sudi  ~  bw + dhb + dep + sex + eth"
"63",28,10739.0990331428,"sudi  ~  yod + bw + dhb + dep + sex + eth"
